Mosca_mitjana_1	Anthrenus_2	Sarcophagidae_6	Nomada_flavoguttata	Scatophagidae??	Syrphidae_1	Eumenes_coarctatus	Microhoria_plumbea	Andrena_limata	Euodynerus_bidentoides	Smaragdina_diversipes	Lasioglossum_albocinctum	Mosca_17	Paragus_tibialis	Aplocnemus_calidus	Halictus_tetrazonius	Mosca_16	Gymnosoma	Bruchidius_1	Megachile_pyrenaica	Anthaxia	Andrena_lepida	Calliphoridae_3	Nomada_succinta	Halictus_smaragdalus	Osmia_rufohirta	Ceratina_cyanea	Andrena_vulpecula	Mosca_11	Mosca_18	Ichneumonidae_6	Hylaeus_garrulus	Mordellistena_1	Mosca_3	Mosca_14	Polistes_gallicus	Sarcophagidae_5	Anaspis	Bombylius_discolor	Lasioglossum_bimaculatum	Andrena_nana	Anthophora_acervorum	Meligethes_aeneus	Empididae_2	Oedemera_flavipes	Sarcophagidae_1	Attalus_pictus	Malthinus	Mosca_7	Tropinota_squalida	Clanoptilus_abdominalis	Lasioglossum_interruptum	Anthrenus_1	Mosca_9	Fals_conòpid	Sarcophagidae_4	Lasioglossum_subhirtum	Anthophora_dispar	Lasioglossum_griseolum	Mosca_15	Chamaesyrphus	Dasytes_nigroaeneus	Hylaeus_hyalinatus	Bombus_terrestris	Chrysotoxum_cautum	Lasioglossum_mediterraneum	Rodanthidium_sticticum	Andrena_angustior_impressa	Microlepidoptera	Andrena_nigroaenea	Pseudophilotes_panoptes	Empididae	Adela_aldrovandella	Lobonyx_aeneus	Oxythyrea_funesta	Andrena_djelfensis	Lasioglossum_transitorium_planulum	Bibio_sp
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	1	1	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	1	0	0	1	0	0	0	3	0
1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	3	0	2	5	0	0	0	1	0	0	0	2	0	0	0	0	2	4	0	1	0	0	2	1	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	4	0	0	1	1	0	0	1	0	1	0	0	0	4	4	3	0	2	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	1	0	0	1	1	6	8	0	1	1	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	9	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	1	0	2	0	1	0
0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	3	0	4	9	0	0	4	4	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	4	5	0	0	0	3	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	2	0	1	1	2	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0	0	0	0	0	0	0	4	0	3	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	2	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	4	0	2	0	0	3	0
0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	2	5	0	2	0	2	0	1	1	1	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	11	0	0	7	0	2	0	0	0	3	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	1	3	2	0	0	2	0	0	1	0	0	0	4	0	3	5	1	0	0	2	0	1	3	0	0	2	23	2	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	6	0	2	0	0	0	5	0	1	0	6	0	1	1	2	0	0	0	3	2	10	0	0	1	0	1	1	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	4	0	2	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
