Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	Nom_planta	Codi_planta	Plant	Frequencia
24	1.92	41.31	Andrena_djelfensis	Short-tongued_small_bees	Biscutella_laevigata	BLA	BLA	1
1	1.92	41.27	Andrena_djelfensis	Short-tongued_small_bees	Cistus_albidus	CAL	CAL	1
37	1.86	41.27	Andrena_djelfensis	Short-tongued_small_bees	Cistus_albidus	CAL	CAL	18
6	1.86	41.29	Andrena_djelfensis	Short-tongued_small_bees	Cistus_salviifolius	CSA	CSA	4
37	1.86	41.27	Andrena_djelfensis	Short-tongued_small_bees	Cistus_salviifolius	CSA	CSA	1
2	1.91	41.30	Andrena_djelfensis	Short-tongued_small_bees	Euphorbia_flavicoma	EFL	EFL	4
14	1.93	41.31	Andrena_djelfensis	Short-tongued_small_bees	Euphorbia_flavicoma	EFL	EFL	1
17	1.92	41.31	Andrena_djelfensis	Short-tongued_small_bees	Euphorbia_flavicoma	EFL	EFL	1
19	1.92	41.31	Andrena_djelfensis	Short-tongued_small_bees	Euphorbia_flavicoma	EFL	EFL	1
24	1.92	41.31	Andrena_djelfensis	Short-tongued_small_bees	Euphorbia_flavicoma	EFL	EFL	3
29	1.91	41.30	Andrena_djelfensis	Short-tongued_small_bees	Euphorbia_flavicoma	EFL	EFL	2
30	1.90	41.30	Andrena_djelfensis	Short-tongued_small_bees	Euphorbia_flavicoma	EFL	EFL	1
19	1.92	41.31	Andrena_djelfensis	Short-tongued_small_bees	Helianthemum_oelandicum	HOE	HOE	1
29	1.91	41.30	Andrena_djelfensis	Short-tongued_small_bees	Helianthemum_oelandicum	HOE	HOE	1
9	1.90	41.32	Andrena_djelfensis	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	1
14	1.93	41.31	Andrena_djelfensis	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	1
26	1.91	41.29	Andrena_djelfensis	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	1
10	1.91	41.28	Andrena_djelfensis	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	2
14	1.93	41.31	Andrena_djelfensis	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	1
30	1.90	41.30	Andrena_djelfensis	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Andrena_djelfensis	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	1
10	1.91	41.28	Andrena_djelfensis	Short-tongued_small_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
16	1.89	41.30	Andrena_djelfensis	Short-tongued_small_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
21	1.88	41.30	Andrena_djelfensis	Short-tongued_small_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
37	1.86	41.27	Andrena_djelfensis	Short-tongued_small_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	3
24	1.92	41.31	Andrena_nana	Short-tongued_medium-sized_bees	Biscutella_laevigata	BLA	BLA	1
38	1.88	41.27	Andrena_nana	Short-tongued_medium-sized_bees	Cistus_salviifolius	CSA	CSA	1
